ACCIDENT_NO,ANY_TRAILER,NUM_VEHICLES
T20120000009,0,1
T20120000012,0,2
T20120000013,0,2
T20120000018,0,1
T20120000021,0,1
T20120000028,0,1
T20120000032,0,1
T20120000043,0,2
T20120000044,0,2
T20120000046,0,1
T20120000050,0,1
T20120000053,0,2
T20120000054,0,2
T20120000056,0,1
T20120000058,0,1
T20120000059,0,1
T20120000060,0,1
T20120000062,0,1
T20120000063,0,2
T20120000064,0,1
T20120000065,0,2
T20120000066,0,2
T20120000079,0,1
T20120000082,0,2
T20120000083,0,1
T20120000084,0,1
T20120000086,0,2
T20120000087,0,1
T20120000090,0,1
T20120000091,0,1
T20120000093,0,2
T20120000096,0,2
T20120000097,0,2
T20120000098,0,1
T20120000099,0,2
T20120000100,0,2
T20120000104,0,1
T20120000109,0,1
T20120000116,0,1
T20120000124,0,1
T20120000131,0,1
T20120000133,0,1
T20120000137,0,1
T20120000138,0,1
T20120000139,0,3
T20120000141,0,1
T20120000142,0,2
T20120000146,0,1
T20120000147,0,2
T20120000148,0,1
T20120000152,0,1
T20120000155,0,1
T20120000165,0,2
T20120000167,0,2
T20120000169,0,2
T20120000174,0,2
T20120000178,0,1
T20120000185,0,1
T20120000186,0,2
T20120000190,0,13
T20120000195,0,2
T20120000196,0,1
T20120000204,0,1
T20120000205,0,2
T20120000206,0,1
T20120000211,0,1
T20120000214,0,1
T20120000216,0,2
T20120000224,0,1
T20120000225,0,2
T20120000227,0,2
T20120000231,0,2
T20120000237,0,1
T20120000238,0,1
T20120000242,0,2
T20120000245,0,1
T20120000246,0,1
T20120000251,0,2
T20120000253,0,2
T20120000255,0,2
T20120000256,0,2
T20120000258,0,2
T20120000263,0,2
T20120000264,0,1
T20120000274,0,1
T20120000275,0,1
T20120000277,0,1
T20120000278,0,2
T20120000279,0,2
T20120000285,0,2
T20120000286,0,1
T20120000293,0,2
T20120000296,0,1
T20120000300,0,2
T20120000304,0,4
T20120000306,0,4
T20120000307,0,2
T20120000314,0,2
T20120000315,0,2
T20120000318,0,1
T20120000321,0,2
T20120000322,0,2
T20120000323,0,1
T20120000328,0,1
T20120000329,0,1
T20120000334,0,1
T20120000338,1,1
T20120000342,0,2
T20120000343,0,2
T20120000351,0,1
T20120000352,0,1
T20120000353,0,1
T20120000356,0,1
T20120000361,0,2
T20120000367,0,2
T20120000371,0,2
T20120000375,0,1
T20120000376,0,2
T20120000377,0,2
T20120000382,0,1
T20120000386,0,1
T20120000388,0,1
T20120000390,0,2
T20120000391,0,2
T20120000396,0,1
T20120000400,0,1
T20120000403,0,2
T20120000404,0,2
T20120000410,0,2
T20120000411,1,3
T20120000414,0,1
T20120000415,0,2
T20120000417,0,2
T20120000422,0,2
T20120000424,0,2
T20120000425,0,2
T20120000427,0,2
T20120000428,0,1
T20120000429,0,1
T20120000430,0,3
T20120000431,0,2
T20120000433,0,1
T20120000434,0,2
T20120000435,0,2
T20120000436,1,5
T20120000447,0,1
T20120000449,0,2
T20120000450,0,2
T20120000452,0,2
T20120000453,0,1
T20120000457,0,3
T20120000458,0,1
T20120000460,0,2
T20120000461,0,1
T20120000465,0,2
T20120000466,0,1
T20120000475,0,1
T20120000476,0,1
T20120000477,0,1
T20120000480,0,1
T20120000484,0,1
T20120000485,0,2
T20120000486,0,2
T20120000487,0,2
T20120000492,0,1
T20120000493,0,1
T20120000498,0,1
T20120000499,0,1
T20120000501,0,1
T20120000502,0,2
T20120000505,0,1
T20120000506,0,1
T20120000507,0,6
T20120000510,0,2
T20120000519,0,1
T20120000527,0,2
T20120000529,0,2
T20120000531,0,1
T20120000533,0,2
T20120000537,0,2
T20120000539,0,2
T20120000540,0,2
T20120000541,0,2
T20120000543,0,1
T20120000544,0,2
T20120000545,0,2
T20120000554,0,2
T20120000557,0,2
T20120000560,0,1
T20120000565,1,1
T20120000568,0,3
T20120000574,0,1
T20120000578,0,1
T20120000579,0,2
T20120000581,0,1
T20120000592,0,1
T20120000593,0,2
T20120000595,0,2
T20120000598,0,2
T20120000601,0,2
T20120000602,0,1
T20120000603,0,1
T20120000608,0,2
T20120000610,0,2
T20120000615,0,2
T20120000616,0,2
T20120000617,0,2
T20120000620,0,1
T20120000621,0,1
T20120000623,0,2
T20120000630,0,1
T20120000631,0,2
T20120000632,0,1
T20120000638,0,2
T20120000641,0,2
T20120000645,0,3
T20120000646,0,1
T20120000648,0,2
T20120000650,0,2
T20120000655,0,2
T20120000659,0,2
T20120000664,0,1
T20120000665,0,2
T20120000672,0,2
T20120000673,0,2
T20120000674,0,2
T20120000675,0,1
T20120000676,0,1
T20120000678,0,2
T20120000686,0,1
T20120000698,0,2
T20120000706,0,1
T20120000709,0,1
T20120000714,0,2
T20120000715,0,2
T20120000717,0,1
T20120000718,0,3
T20120000719,0,2
T20120000727,0,2
T20120000728,0,2
T20120000730,1,2
T20120000732,0,3
T20120000736,0,2
T20120000739,0,1
T20120000740,0,2
T20120000742,0,2
T20120000744,0,2
T20120000745,0,1
T20120000747,0,3
T20120000748,0,1
T20120000750,0,1
T20120000751,0,1
T20120000752,0,2
T20120000754,0,1
T20120000759,0,2
T20120000761,0,2
T20120000764,0,2
T20120000768,0,2
T20120000771,0,2
T20120000779,0,1
T20120000781,0,1
T20120000782,0,2
T20120000783,0,1
T20120000791,0,1
T20120000792,1,2
T20120000797,1,2
T20120000798,0,3
T20120000799,0,1
T20120000800,0,1
T20120000804,0,1
T20120000812,0,3
T20120000813,0,2
T20120000814,0,2
T20120000818,0,2
T20120000819,0,2
T20120000821,0,2
T20120000822,0,1
T20120000824,0,2
T20120000826,0,2
T20120000829,0,1
T20120000830,0,1
T20120000831,0,1
T20120000833,0,2
T20120000834,0,1
T20120000835,0,1
T20120000837,0,1
T20120000838,0,2
T20120000840,0,2
T20120000844,0,1
T20120000845,0,2
T20120000847,0,2
T20120000848,0,1
T20120000849,0,1
T20120000850,0,4
T20120000855,0,2
T20120000858,0,2
T20120000859,0,2
T20120000860,0,2
T20120000862,0,2
T20120000863,0,1
T20120000864,0,2
T20120000865,0,1
T20120000867,0,1
T20120000868,0,3
T20120000870,0,1
T20120000871,0,1
T20120000874,0,2
T20120000876,0,2
T20120000877,0,2
T20120000880,1,2
T20120000885,0,1
T20120000887,0,1
T20120000888,0,2
T20120000894,0,2
T20120000897,0,1
T20120000899,0,1
T20120000900,0,2
T20120000902,0,2
T20120000905,0,2
T20120000906,0,1
T20120000915,1,1
T20120000917,0,1
T20120000919,0,2
T20120000920,0,2
T20120000924,0,2
T20120000925,0,2
T20120000927,0,2
T20120000930,0,2
T20120000939,0,2
T20120000941,0,2
T20120000942,0,3
T20120000943,0,1
T20120000944,0,2
T20120000945,0,2
T20120000947,0,2
T20120000949,0,1
T20120000955,0,1
T20120000960,0,1
T20120000961,0,1
T20120000968,0,1
T20120000974,0,4
T20120000976,0,1
T20120000978,0,1
T20120000979,0,1
T20120000980,0,3
T20120000990,0,2
T20120000992,0,1
T20120000994,0,1
T20120000995,0,2
T20120001000,1,2
T20120001007,1,2
T20120001015,0,2
T20120001016,0,2
T20120001019,0,1
T20120001026,0,2
T20120001033,0,1
T20120001035,0,1
T20120001037,0,2
T20120001040,0,1
T20120001041,0,1
T20120001042,0,2
T20120001047,0,2
T20120001050,0,2
T20120001051,0,2
